address;opentime;endtime;phone
к. Игнашино, ул. Гаражная, д. 20, 855406;08:00:00;20:00:00;+7 048 335 6657
д. Любань, ул. Сосновая, д. 46, 062092;08:30:00;20:30:00;+7 (526) 456-21-95
г. Кириши, ул. Сиреневая, д. 18, 511198;09:00:00;21:00:00;8 209 622 82 14
ст. Серебряные Пруды, ул. Зеленая, д. 04, 865248;08:00:00;20:00:00;+7 790 695 4350
п. Печора, ул. Жуковского, д. 14, 208376;09:00:00;21:00:00;+7 394 646 47 85
к. Лянтор, ул. Карьерная, д. 37, 236737;08:30:00;20:30:00;8 633 823 7914
г. Ведено, ул. Рязанская, д. 25, 526370;08:30:00;20:30:00;8 (127) 134-42-51
ст. Шелехов, ул. Щорса, д. 19, 596755;08:00:00;20:00:00;8 916 709 74 68
ст. Игнашино, ул. Совхозная, д. 78, 073712;09:00:00;21:00:00;+7 907 356 61 52
клх Оймякон, ул. Ворошилова, д. 84, 586750;08:00:00;20:00:00;8 (044) 721-3887
клх Кущевская, ул. Железнодорожная, д. 16, 396169;09:00:00;21:00:00;+7 (397) 670-23-62
с. Новороссийка, ул. Победа, д. 10, 710384;09:00:00;21:00:00;+7 (233) 161-5815
д. Шахты, ул. Тополиная, д. 93, 210749;09:00:00;21:00:00;+7 728 538 09 62
с. Слюдянка, ул. Мостовая, д. 61, 582134;09:00:00;21:00:00;8 (742) 620-7877
п. Чокурдах, ул. Большевистская, д. 76, 158045;09:00:00;21:00:00;8 673 017 7135
д. Устюжна, ул. Водопроводная, д. 56, 540174;08:00:00;20:00:00;+75585194938
клх Токсово, ул. Жукова, д. 38, 652579;08:00:00;20:00:00;+7 524 421 3662
д. Серпухов, ул. Пушкинская, д. 41, 354721;08:30:00;20:30:00;+74736136882
ст. Одинцово, ул. 70 лет Октября, д. 02, 950896;08:00:00;20:00:00;+7 041 982 96 89
г. Шелехов, ул. Казанская, д. 26, 109879;08:00:00;20:00:00;+7 345 557 2170
к. Коломна, ул. Производственная, д. 26, 699466;08:30:00;20:30:00;+7 (032) 076-3294
клх Карачаевск, ул. Майская, д. 60, 751209;09:00:00;21:00:00;87817499827
ст. Сладково, ул. Ленская, д. 50, 605520;09:00:00;21:00:00;+7 (032) 564-5259
п. Дербент, ул. Красноармейская, д. 15, 367272;09:00:00;21:00:00;+7 (548) 134-94-24
п. Мирный, ул. Вольная, д. 76, 628249;08:30:00;20:30:00;8 445 355 0544
г. Яшалта, ул. Хуторская, д. 95, 392231;08:30:00;20:30:00;+7 723 422 8082
ст. Забайкальск, ул. Одесская, д. 63, 473628;08:00:00;20:00:00;+7 134 268 8447
клх Тутаев, ул. Логовая, д. 69, 534632;09:00:00;21:00:00;+77842669693
ст. Воткинск, ул. Свободная, д. 33, 100849;08:30:00;20:30:00;+7 471 891 4857
п. Юрюзань, ул. Крылова, д. 21, 927404;08:30:00;20:30:00;+7 (845) 367-63-63
г. Чебаркуль, ул. Клубная, д. 61, 938758;08:00:00;20:00:00;8 (529) 743-26-92
п. Медногорск, ул. Цветочная, д. 41, 550065;08:00:00;20:00:00;8 599 677 89 40
ст. Старый Оскол, ул. Московская, д. 01, 951097;08:30:00;20:30:00;8 822 796 37 77
п. Кисловодск, ул. Тепличная, д. 94, 601484;08:30:00;20:30:00;80668419368
ст. Камышин, ул. Южная, д. 66, 215858;09:00:00;21:00:00;+7 (514) 170-1034
ст. Чегем, ул. Прудная, д. 34, 254660;08:00:00;20:00:00;+7 843 955 98 72
д. Ельня, ул. Олимпийская, д. 19, 007431;08:00:00;20:00:00;+7 718 348 33 56
ст. Белоярский, ул. Минина, д. 06, 791690;09:00:00;21:00:00;8 605 592 18 79
ст. Усть-Кулом, ул. Лесозаводская, д. 48, 134448;09:00:00;21:00:00;89869915746
ст. Ребриха, ул. Заозерная, д. 34, 163256;09:00:00;21:00:00;8 (908) 762-1383
с. Армавир, ул. Заовражная, д. 81, 276748;09:00:00;21:00:00;+7 (148) 881-03-74
д. Тамбов, ул. Енисейская, д. 19, 904536;08:30:00;20:30:00;8 (176) 913-9488
п. Крымск, ул. Студенческая, д. 54, 623284;09:00:00;21:00:00;8 921 538 12 78
ст. Ростов-на-Дону, ул. Сенная, д. 94, 649634;08:00:00;20:00:00;8 (949) 485-90-20
ст. Камышлов, ул. Папанина, д. 78, 478104;08:30:00;20:30:00;88239328325
ст. Новосибирск, ул. Курортная, д. 05, 313875;08:00:00;20:00:00;+7 (256) 550-3202
ст. Хатанга, ул. Ермака, д. 01, 322865;09:00:00;21:00:00;+78405378606
с. Йошкар-Ола, ул. 60 лет СССР, д. 31, 864444;08:00:00;20:00:00;+7 066 643 48 34
г. Лесной (Сверд.), ул. Придорожная, д. 25, 651702;08:00:00;20:00:00;+7 (408) 103-6043
ст. Вязьма, ул. Жданова, д. 65, 088057;08:30:00;20:30:00;8 348 276 59 59
ст. Миасс, ул. Сплавная, д. 80, 167428;08:30:00;20:30:00;8 031 256 08 94
клх Яшкуль, ул. Микрорайон, д. 35, 496804;08:30:00;20:30:00;8 (599) 902-72-68
с. Калевала, ул. Менделеева, д. 89, 648878;09:00:00;21:00:00;82778829475
к. Семлячики, ул. Тельмана, д. 57, 738069;08:00:00;20:00:00;+7 (727) 520-4660
ст. Зеленогорск (Ленин.), ул. Плеханова, д. 65, 241490;09:00:00;21:00:00;86026231764
ст. Сухиничи, ул. Высокая, д. 29, 347687;08:30:00;20:30:00;8 199 912 89 22
п. Дербент, ул. Театральная, д. 20, 787524;08:30:00;20:30:00;+70365070146
к. Архыз, ул. Проезжая, д. 62, 831262;08:30:00;20:30:00;8 430 255 7962
п. Карталы, ул. Московская, д. 20, 034672;08:30:00;20:30:00;8 462 159 6225
с. Листвянка (Иркут.), ул. Цветочная, д. 79, 479122;08:30:00;20:30:00;+7 (083) 626-9135
к. Улан-Удэ, ул. Олега Кошевого, д. 42, 233774;08:30:00;20:30:00;+7 (884) 363-0092
клх Солнечногорск, ул. Высотная, д. 67, 760273;08:30:00;20:30:00;8 822 822 67 87
д. Тамбей, ул. Мая 1, д. 40, 046660;09:00:00;21:00:00;+7 (047) 084-58-61
г. Нурлат, ул. Майская, д. 10, 189653;09:00:00;21:00:00;8 (319) 395-0776
п. Асбест, ул. Ягодная, д. 55, 551367;09:00:00;21:00:00;8 (817) 844-27-58
с. Волгоград, ул. Карбышева, д. 15, 515520;09:00:00;21:00:00;8 (338) 481-48-86
ст. Кяхта, ул. Клубная, д. 65, 655932;08:30:00;20:30:00;8 617 363 1410
к. Хоста, ул. Красноярская, д. 20, 127220;08:30:00;20:30:00;8 680 192 89 76
к. Белогорск (Амур.), ул. Большевистская, д. 69, 710274;09:00:00;21:00:00;87192946653
п. Богучар, ул. Герцена, д. 78, 527536;08:00:00;20:00:00;+7 (558) 200-50-79
клх Обнинск, ул. Байкальская, д. 84, 419758;09:00:00;21:00:00;8 574 875 80 72
к. Верхоянск, ул. Глинки, д. 11, 438475;09:00:00;21:00:00;+7 (227) 186-96-92
д. Горно-Алтайск, ул. Грибоедова, д. 56, 038003;09:00:00;21:00:00;+7 (315) 912-0146
ст. Шумиха, ул. Папанина, д. 14, 374043;08:30:00;20:30:00;8 (523) 063-5835
ст. Каргополь, ул. Таманская, д. 19, 776952;08:30:00;20:30:00;8 (210) 758-3297
д. Верещагино (Перм.), ул. Специалистов, д. 26, 449729;08:00:00;20:00:00;+7 615 094 9205
с. Ногинск (Моск.), ул. Короткая, д. 68, 915236;08:00:00;20:00:00;+7 348 121 5837
к. Усть-Кулом, ул. Парковая, д. 59, 143074;08:30:00;20:30:00;86409317230
ст. Пинега, ул. Пушкина, д. 56, 607405;08:30:00;20:30:00;+7 (829) 496-0562
г. Славянск-на-Кубани, ул. Дарвина, д. 38, 346577;08:00:00;20:00:00;8 (351) 985-0237
п. Сосьва (Хант.), ул. Таежная, д. 43, 596948;09:00:00;21:00:00;+7 668 858 88 08
д. Североморск, ул. Рабочая, д. 02, 861186;08:00:00;20:00:00;88009434709
д. Аргаяш, ул. Почтовая, д. 44, 315520;08:00:00;20:00:00;8 069 255 30 89
ст. Нижневартовск, ул. Льва Толстого, д. 57, 067216;08:00:00;20:00:00;8 (112) 195-3053
с. Дно, ул. Мая 1, д. 34, 937120;09:00:00;21:00:00;8 (816) 250-2149
клх Кизляр, ул. Культуры, д. 02, 139912;08:00:00;20:00:00;8 707 531 12 43
клх Майкоп, ул. Крымская, д. 90, 239180;08:30:00;20:30:00;8 363 413 7190
д. Касимов, ул. Красных Партизан, д. 42, 063991;08:30:00;20:30:00;+7 653 655 55 99
к. Асино, ул. Мая 1, д. 23, 926663;09:00:00;21:00:00;8 (417) 968-5805
д. Устюжна, ул. Огородная, д. 18, 712067;08:30:00;20:30:00;8 971 213 8750
клх Оренбург, ул. Горняцкая, д. 76, 388831;09:00:00;21:00:00;+7 354 280 3644
ст. Наро-Фоминск, ул. Набережная, д. 27, 370577;09:00:00;21:00:00;+75219931237
п. Беломорск, ул. Озерная, д. 74, 052719;09:00:00;21:00:00;8 (733) 694-8045
к. Лодейное Поле, ул. Чехова, д. 83, 974431;09:00:00;21:00:00;+7 384 299 32 65
ст. Тосно, ул. Буденного, д. 68, 280636;08:30:00;20:30:00;+7 227 533 24 88
п. Красная Поляна, ул. Советов, д. 18, 169424;09:00:00;21:00:00;8 509 088 93 44
д. Карабулак, ул. Центральная, д. 57, 797328;08:00:00;20:00:00;85433618931
д. Каневская, ул. Урожайная, д. 23, 594731;08:00:00;20:00:00;+7 (626) 195-8723
д. Екатеринбург, ул. Кооперативная, д. 55, 692390;08:30:00;20:30:00;+73522401470
ст. Каменномостский, ул. Сибирская, д. 58, 644793;08:30:00;20:30:00;+7 007 264 54 65
г. Алексин, ул. Украинская, д. 46, 911273;08:30:00;20:30:00;+73490308995
д. Воткинск, ул. Гончарова, д. 93, 870383;08:00:00;20:00:00;8 (047) 769-72-72
ст. Джейрах, ул. 8-е Марта, д. 27, 283198;08:30:00;20:30:00;+7 (432) 250-93-51
клх Сочи, ул. Павлика Морозова, д. 04, 727159;09:00:00;21:00:00;+7 382 382 33 34
к. Балашов, ул. Пушкинская, д. 37, 054677;08:00:00;20:00:00;81316811357
с. Петухово, ул. Степана Разина, д. 54, 589571;08:00:00;20:00:00;+7 (794) 633-9361
ст. Адлер, ул. Максима Горького, д. 79, 711280;08:00:00;20:00:00;+7 (585) 567-9095
клх Абинск, ул. Пугачева, д. 39, 977765;09:00:00;21:00:00;+71949812328
ст. Хатанга, ул. Строителей, д. 46, 404858;08:00:00;20:00:00;8 290 906 2885
клх Череповец, ул. Ватутина, д. 84, 561132;08:30:00;20:30:00;8 420 884 9010
г. Плес, ул. Фадеева, д. 60, 237307;08:00:00;20:00:00;+7 359 457 0621
п. Юрьев-Польский, ул. Бабушкина, д. 83, 601766;08:30:00;20:30:00;+7 868 660 3897
ст. Рыбинск, ул. Каштановая, д. 61, 709704;08:30:00;20:30:00;+7 (099) 768-38-88
ст. Оренбург, ул. Олега Кошевого, д. 38, 136722;08:30:00;20:30:00;8 (577) 892-92-09
п. Приозерск, ул. Февральская, д. 13, 706481;09:00:00;21:00:00;+7 560 919 31 22
п. Дивногорск, ул. Хвойная, д. 39, 075939;08:00:00;20:00:00;+7 (902) 256-23-70
п. Уссурийск, ул. Прибрежная, д. 60, 483749;08:00:00;20:00:00;+7 (921) 588-4137
клх Ачинск, ул. Невского, д. 64, 329570;09:00:00;21:00:00;+7 (002) 821-93-63
к. Барнаул, ул. Чернышевского, д. 77, 764371;08:00:00;20:00:00;+7 (589) 296-4613
ст. Карпинск, ул. 50 лет Октября, д. 26, 918680;08:30:00;20:30:00;+7 (357) 454-66-48
д. Грозный, ул. Депутатская, д. 83, 068655;08:30:00;20:30:00;+7 804 484 7749
п. Новгород Великий, ул. Бажова, д. 88, 692421;09:00:00;21:00:00;+76376994581
г. Верхний Тагил, ул. Московская, д. 31, 819859;08:30:00;20:30:00;8 (245) 843-6752
г. Шали, ул. Фрунзе, д. 56, 439261;08:00:00;20:00:00;8 (185) 084-5421
ст. Вологда, ул. Угловая, д. 52, 771740;09:00:00;21:00:00;8 (330) 114-42-67
с. Петухово, ул. Большевистская, д. 71, 327342;08:30:00;20:30:00;8 014 944 2777
ст. Биробиджан, ул. Сенная, д. 15, 332117;08:30:00;20:30:00;8 826 909 73 34
с. Ведено, ул. Гайдара, д. 81, 165796;08:00:00;20:00:00;88369658543
к. Черкесск, ул. Прибрежная, д. 42, 359707;08:30:00;20:30:00;8 688 328 6775
г. Гудермес, ул. Толбухина, д. 36, 246631;08:00:00;20:00:00;8 (523) 628-36-96
п. Тверь, ул. Хуторская, д. 19, 347112;09:00:00;21:00:00;80029589467
клх Минусинск, ул. Парижской Коммуны, д. 80, 666658;08:00:00;20:00:00;87862906128
клх Киров (Вятка), ул. Тепличная, д. 72, 014929;08:30:00;20:30:00;8 (248) 658-53-76
ст. Курумкан, ул. Механизаторов, д. 92, 274898;08:00:00;20:00:00;+7 (563) 013-2085
с. Усинск, ул. Урожайная, д. 61, 293152;09:00:00;21:00:00;8 030 926 6846
ст. Тосно, ул. Минина, д. 76, 169689;08:00:00;20:00:00;+70940306148
ст. Красногорск (Моск.), ул. 40 лет Победы, д. 65, 498425;09:00:00;21:00:00;+7 (540) 731-8040
ст. Каневская, ул. Литейная, д. 68, 993141;08:00:00;20:00:00;+7 994 518 58 12
п. Новочеркасск, ул. Новая, д. 00, 525431;08:30:00;20:30:00;8 276 490 18 85
г. Шуя, ул. Московская, д. 13, 724419;09:00:00;21:00:00;85679900059
клх Лабытнанги, ул. Саратовская, д. 09, 113795;09:00:00;21:00:00;8 480 798 9193
к. Чикола, ул. Западная, д. 39, 958031;08:30:00;20:30:00;+7 237 425 89 37
д. Кашхатау, ул. Совхозная, д. 80, 425852;08:00:00;20:00:00;+7 294 129 94 11
г. Находка, ул. Коминтерна, д. 40, 434300;09:00:00;21:00:00;+74754040492
п. Киржач, ул. Мусы Джалиля, д. 14, 201057;08:30:00;20:30:00;+7 (500) 605-14-14
г. Джейрах, ул. Строительная, д. 52, 741193;09:00:00;21:00:00;+7 104 852 9901
г. Королев, ул. Попова, д. 89, 687068;08:30:00;20:30:00;8 811 942 3124
г. Ростов, ул. Фурманова, д. 14, 473602;08:00:00;20:00:00;8 812 749 71 79
д. Орск, ул. Ватутина, д. 04, 434608;08:30:00;20:30:00;8 767 300 19 58
к. Балашиха, ул. Запорожская, д. 88, 475741;08:30:00;20:30:00;+7 616 098 3879
с. Набережные Челны, ул. Проезжая, д. 59, 608171;08:00:00;20:00:00;8 (335) 402-5816
г. Чегем, ул. Автомобилистов, д. 68, 732266;09:00:00;21:00:00;+7 (122) 376-5722
п. Ханты-Мансийск, ул. Севастопольская, д. 62, 118891;09:00:00;21:00:00;+7 861 019 67 12
д. Усолье Сибирское, ул. Больничная, д. 88, 435452;08:00:00;20:00:00;84833563416
с. Арзамас, ул. Речная, д. 72, 531501;08:30:00;20:30:00;+7 108 252 4967
клх Бугульма, ул. Сибирская, д. 97, 537530;08:30:00;20:30:00;+7 796 701 2852
д. Всеволожск, ул. Театральная, д. 64, 711509;08:00:00;20:00:00;+7 455 658 43 89
д. Плес, ул. Дорожная, д. 06, 895925;09:00:00;21:00:00;+7 403 415 88 67
п. Белореченск, ул. Васильковая, д. 28, 108696;08:00:00;20:00:00;8 995 264 08 71
ст. Зарайск, ул. Чехова, д. 29, 522556;08:30:00;20:30:00;85449272252
д. Североуральск, ул. Магистральная, д. 91, 009530;08:30:00;20:30:00;8 (590) 323-3791
к. Дербент, ул. Седова, д. 12, 830016;08:30:00;20:30:00;+7 (660) 237-27-81
с. Биробиджан, ул. Кузнечная, д. 16, 960272;09:00:00;21:00:00;8 (598) 181-90-50
г. Северобайкальск, ул. Волкова, д. 69, 224420;08:00:00;20:00:00;+7 (002) 189-7696
к. Моршанск, ул. Димитрова, д. 88, 940470;09:00:00;21:00:00;8 (062) 278-9014
п. Ардон, ул. Шишкина, д. 62, 776931;08:00:00;20:00:00;8 514 465 99 89
п. Кировск (Ленин.), ул. Юбилейная, д. 30, 664737;08:00:00;20:00:00;+7 948 024 77 66
д. Сковородино, ул. Чайковского, д. 47, 552935;09:00:00;21:00:00;8 359 681 86 05
ст. Орел, ул. Шахтерская, д. 39, 169842;08:30:00;20:30:00;+77683160581
с. Ступино, ул. Строителей, д. 69, 022405;08:30:00;20:30:00;8 (857) 317-0227
д. Верхоянск, ул. Ростовская, д. 61, 946950;08:30:00;20:30:00;+7 (164) 192-52-35
ст. Токсово, ул. Микрорайон, д. 82, 400287;09:00:00;21:00:00;8 (177) 640-97-26
г. Игарка, ул. Горняцкая, д. 03, 638870;08:00:00;20:00:00;+7 (236) 598-5733
д. Рыбинск, ул. Кузнецкая, д. 13, 423087;08:00:00;20:00:00;8 318 715 3109
ст. Чокурдах, ул. Павлика Морозова, д. 38, 354167;08:30:00;20:30:00;80074713417
г. Алексин, ул. Войкова, д. 70, 811807;08:30:00;20:30:00;+7 (118) 820-1887
п. Ирбит, ул. Мая 1, д. 51, 594028;09:00:00;21:00:00;8 (169) 666-76-90
г. Истра, ул. Машиностроителей, д. 16, 035924;09:00:00;21:00:00;8 (006) 955-98-81
г. Ивдель, ул. Просвещения, д. 91, 579968;09:00:00;21:00:00;+7 713 632 1733
ст. Елец, ул. Вишневая, д. 98, 753047;08:30:00;20:30:00;+72556324487
с. Александров, ул. Пограничная, д. 27, 247652;08:30:00;20:30:00;+7 (233) 809-7055
ст. Шаховская, ул. Тепличная, д. 36, 671739;09:00:00;21:00:00;8 195 201 8867
клх Югорск, ул. Трудовая, д. 47, 378578;08:00:00;20:00:00;89122369641
с. Тосно, ул. Монтажников, д. 55, 125282;08:30:00;20:30:00;+7 898 359 8350
с. Темрюк, ул. Металлургов, д. 08, 978588;08:30:00;20:30:00;8 (903) 159-17-37
клх Курганинск, ул. Прудная, д. 29, 936230;09:00:00;21:00:00;87857812198
п. Дагомыс, ул. Кольцевая, д. 83, 930434;08:00:00;20:00:00;8 614 610 57 82
ст. Токсово, ул. Магистральная, д. 90, 806495;08:00:00;20:00:00;8 642 602 1568
клх Апрелевка, ул. Окружная, д. 59, 339040;08:00:00;20:00:00;+74587756775
п. Хасан, ул. Интернациональная, д. 31, 451719;08:00:00;20:00:00;8 381 107 33 40
п. Мостовской, ул. Подстанция, д. 59, 293395;08:30:00;20:30:00;8 645 182 8803
д. Солнечногорск, ул. Громова, д. 66, 204376;09:00:00;21:00:00;+7 (946) 618-94-30
ст. Москва, ул. Вокзальная, д. 17, 217835;08:00:00;20:00:00;+74455941986
д. Мостовской, ул. Достоевского, д. 34, 093800;08:30:00;20:30:00;87828165658
клх Джубга, ул. Кубанская, д. 06, 306076;08:30:00;20:30:00;8 780 402 8891
д. Диксон, ул. Овражная, д. 10, 992202;09:00:00;21:00:00;8 755 117 9486
клх Кизел, ул. Красина, д. 74, 042507;08:00:00;20:00:00;+7 (176) 623-0550
д. Терней, ул. Герцена, д. 36, 946830;08:30:00;20:30:00;+73749870699
с. Ялуторовск, ул. Космическая, д. 98, 502797;08:30:00;20:30:00;8 487 425 90 27
к. Кропоткин (Краснод.), ул. Депутатская, д. 03, 266392;09:00:00;21:00:00;8 808 422 3935
г. Эльбрус, ул. Пролетарская, д. 30, 181351;08:00:00;20:00:00;8 (006) 291-6781
к. Екатеринбург, ул. Заозерная, д. 86, 554561;09:00:00;21:00:00;+7 840 895 5654
с. Жуковский, ул. Суворова, д. 66, 677772;09:00:00;21:00:00;8 291 495 7687
к. Онега, ул. Кошевого, д. 68, 226667;08:30:00;20:30:00;8 (891) 100-8154
г. Гатчина, ул. Фурманова, д. 12, 094854;08:00:00;20:00:00;+7 (237) 299-3428
ст. Серов, ул. Привокзальная, д. 27, 218659;08:30:00;20:30:00;+7 (482) 494-0678
клх Смоленск, ул. Высоцкого, д. 77, 900887;08:00:00;20:00:00;8 (584) 187-52-50
к. Нефедова, ул. Победа, д. 66, 463448;08:00:00;20:00:00;+7 (739) 439-3677
клх Киренск, ул. Калужская, д. 18, 109982;08:30:00;20:30:00;+7 114 161 78 32
с. Катав-Ивановск, ул. Звездная, д. 42, 658679;08:30:00;20:30:00;8 (151) 423-75-62
п. Поронайск, ул. Покровская, д. 04, 395244;08:30:00;20:30:00;+7 514 588 16 82
к. Соль-Илецк, ул. Донская, д. 73, 395814;08:00:00;20:00:00;+70305777615
п. Междуреченский, ул. Петровская, д. 54, 323111;09:00:00;21:00:00;8 000 706 6206
клх Усмань, ул. Одесская, д. 60, 666753;09:00:00;21:00:00;+7 794 867 52 39
ст. Волгоград, ул. Ставропольская, д. 50, 705993;08:00:00;20:00:00;85024987923
д. Кунгур, ул. Болотная, д. 99, 844541;09:00:00;21:00:00;+71470292932
п. Бодайбо, ул. Пожарского, д. 35, 087891;08:30:00;20:30:00;+79549355325
д. Уварово, ул. Нахимова, д. 75, 993585;08:30:00;20:30:00;+7 (949) 057-91-14
ст. Можайск, ул. Краснофлотская, д. 72, 123012;08:30:00;20:30:00;+7 140 662 8358
клх Соль-Илецк, ул. Минина, д. 52, 781051;08:00:00;20:00:00;8 (330) 681-34-60
д. Александров Гай, ул. Лесозаводская, д. 04, 812825;08:00:00;20:00:00;+7 (122) 037-43-89
к. Рыбинск, ул. Строителей, д. 42, 032629;09:00:00;21:00:00;8 (950) 642-10-75
д. Таганрог, ул. Одесская, д. 22, 016592;08:30:00;20:30:00;+71707220134
к. Слюдянка, ул. Виноградная, д. 90, 322109;08:30:00;20:30:00;+7 (458) 965-4877
г. Кабанск, ул. Приозерная, д. 81, 572451;08:00:00;20:00:00;+7 (181) 241-44-30
клх Кемерово, ул. Литейная, д. 14, 242681;09:00:00;21:00:00;8 980 561 32 36
г. Тотьма, ул. Сенная, д. 60, 520740;09:00:00;21:00:00;+7 485 621 4735
ст. Усть-Катав, ул. Авиационная, д. 65, 520689;08:00:00;20:00:00;+7 932 542 4379
клх Сочи, ул. Речная, д. 58, 285675;09:00:00;21:00:00;8 422 174 50 40
клх Ирбит, ул. Прохладная, д. 54, 085898;08:30:00;20:30:00;+71293892944
д. Пушкино (Моск.), ул. Азина, д. 49, 502588;08:30:00;20:30:00;86241069291
ст. Красноуфимск, ул. Крылова, д. 91, 170851;09:00:00;21:00:00;+7 183 616 11 80
к. Александров Гай, ул. Клары Цеткин, д. 76, 111284;08:30:00;20:30:00;81311890909
к. Нарткала, ул. Горняцкая, д. 67, 040742;08:00:00;20:00:00;+71128396272
клх Нижний Тагил, ул. Тимирязева, д. 83, 515267;08:30:00;20:30:00;+7 (414) 075-35-76
г. Тобольск, ул. Котовского, д. 76, 576898;08:30:00;20:30:00;8 143 023 94 80
д. Моршанск, ул. К.Маркса, д. 72, 861332;09:00:00;21:00:00;8 (930) 814-9101
к. Выборг, ул. Краснодарская, д. 75, 113193;09:00:00;21:00:00;+7 (591) 028-00-83
с. Вязьма, ул. Прохладная, д. 46, 499852;08:00:00;20:00:00;85842526258
клх Морозовск, ул. Достоевского, д. 08, 382793;08:00:00;20:00:00;8 263 610 84 85
д. Кедровый, ул. Некрасова, д. 44, 016238;08:30:00;20:30:00;+7 (382) 469-7266
ст. Моршанск, ул. 9 Января, д. 36, 895636;08:00:00;20:00:00;8 110 676 73 34
к. Бомнак, ул. Короткая, д. 27, 935993;09:00:00;21:00:00;8 (933) 937-8169
к. Аршан (Бурят.), ул. Фурманова, д. 58, 219141;09:00:00;21:00:00;8 (800) 778-53-83
клх Псков, ул. Союзная, д. 92, 602111;08:30:00;20:30:00;+7 (533) 740-98-37
с. Великие Луки, ул. Терешковой, д. 01, 771866;08:00:00;20:00:00;+7 (597) 821-06-98
к. Нефедова, ул. Новоселов, д. 10, 826757;09:00:00;21:00:00;+7 (319) 068-98-90
г. Луховицы, ул. Короткая, д. 53, 048905;08:30:00;20:30:00;+7 (245) 772-85-70
ст. Лагань, ул. Осенняя, д. 28, 589524;08:30:00;20:30:00;8 (485) 491-2761
ст. Ступино, ул. Матросова, д. 84, 498677;08:30:00;20:30:00;8 (689) 917-99-78
клх Усолье Сибирское, ул. Леонова, д. 51, 016505;09:00:00;21:00:00;8 (733) 279-91-76
ст. Заводоуковск, ул. Мелиоративная, д. 41, 082568;09:00:00;21:00:00;+7 157 684 65 38
г. Псебай, ул. Минина, д. 06, 100546;08:00:00;20:00:00;+7 847 926 7626
ст. Арсеньев, ул. Волочаевская, д. 88, 180673;08:30:00;20:30:00;+74300781731
д. Камышин, ул. Строителей, д. 82, 796605;08:30:00;20:30:00;8 (183) 376-92-91
д. Абакан, ул. Профсоюзная, д. 06, 256308;09:00:00;21:00:00;+7 095 596 63 11
клх Красноуфимск, ул. Новосельская, д. 16, 468320;08:30:00;20:30:00;+77379878618
г. Томск, ул. Лунная, д. 17, 748396;09:00:00;21:00:00;+7 (618) 736-2044
ст. Тутаев, ул. Чайковского, д. 61, 391127;08:30:00;20:30:00;+7 620 164 67 94
д. Шумиха, ул. Коммунистическая, д. 26, 648156;09:00:00;21:00:00;8 (652) 374-9105
г. Снежинск, ул. Энергетическая, д. 84, 098876;09:00:00;21:00:00;8 730 050 58 35
клх Поярково, ул. Троицкая, д. 31, 577612;09:00:00;21:00:00;8 (192) 686-3901
клх Котельнич, ул. Черняховского, д. 97, 107501;08:30:00;20:30:00;+7 (120) 272-2267
ст. Моршанск, ул. Павлова, д. 14, 981844;08:30:00;20:30:00;8 (191) 532-80-88
к. Кингисепп, ул. Вишневая, д. 50, 563671;09:00:00;21:00:00;87227140283
г. Курган, ул. Северная, д. 43, 822750;08:00:00;20:00:00;+7 124 358 72 98
г. Сунтар, ул. Урожайная, д. 89, 524454;09:00:00;21:00:00;+7 897 741 7466
ст. Александров, ул. Мичурина, д. 40, 231056;08:30:00;20:30:00;+7 (325) 291-0334
ст. Луга, ул. Красноярская, д. 34, 563980;08:00:00;20:00:00;+7 204 474 17 50
п. Пенза, ул. Курортная, д. 83, 320844;08:30:00;20:30:00;+7 (535) 625-77-75
п. Ангарск, ул. Радищева, д. 05, 110137;09:00:00;21:00:00;8 518 517 8085
с. Амурск, ул. Вокзальная, д. 23, 644665;08:30:00;20:30:00;8 970 105 6226
г. Ханты-Мансийск, ул. Урожайная, д. 92, 591750;08:30:00;20:30:00;8 (008) 301-47-62
п. Минусинск, ул. Тенистая, д. 11, 856716;08:30:00;20:30:00;8 (050) 453-4356
г. Ступино, ул. Пархоменко, д. 00, 713296;08:00:00;20:00:00;+7 (852) 204-8173
ст. Гремячинск (Бурят.), ул. Пушкинская, д. 54, 711438;08:30:00;20:30:00;8 264 017 0989
г. Тымовское, ул. Рабочая, д. 86, 611001;09:00:00;21:00:00;89111242516
к. Долинск, ул. Парковая, д. 42, 186455;08:00:00;20:00:00;+7 (715) 999-7227
д. Черский, ул. Фадеева, д. 91, 705200;08:30:00;20:30:00;+7 445 374 3494
п. Ишим, ул. Советская, д. 31, 149096;09:00:00;21:00:00;8 464 929 8102
п. Ессентуки, ул. Красноярская, д. 18, 295057;08:00:00;20:00:00;83406139393
клх Соликамск, ул. Семашко, д. 19, 696749;08:00:00;20:00:00;8 135 069 92 02
г. Фатеж, ул. Дружбы, д. 12, 374516;09:00:00;21:00:00;+7 615 000 4046
п. Мостовской, ул. Шишкина, д. 29, 221851;09:00:00;21:00:00;+7 427 420 9510
клх Калининград, ул. Островского, д. 82, 751899;08:30:00;20:30:00;82280651874
к. Кежма, ул. ДОС, д. 02, 278065;09:00:00;21:00:00;+7 (423) 923-3265
г. Новосибирск, ул. Северная, д. 08, 154030;09:00:00;21:00:00;+7 (616) 114-19-29
п. Калач-на-Дону, ул. Веселая, д. 31, 511076;08:30:00;20:30:00;+7 641 048 28 27
